YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 05 20  52  8.7 10.5  2.40 14.29  5.83 349 1010.3  24.3  23.7 999.0 99.0
1999 01 05 21  56  9.0 10.9  2.20 14.29  5.90 345 1009.7  24.3  23.7 999.0 99.0
1999 01 05 22  56  8.0  9.3  2.13 14.29  5.68 350 1009.1  24.3  23.8 999.0 99.0
1999 01 05 23  58  8.4  9.9  2.17 14.29  5.78 353 1008.5  24.3  23.8 999.0 99.0
1999 01 06 00  54  8.3 10.1  2.18 12.50  6.09 341 1007.9  24.3  23.8 999.0 99.0
1999 01 06 01  62  7.7  8.9  2.04 12.50  5.77 347 1007.2  24.3  23.8 999.0 99.0
1999 01 06 02  65  8.0  9.5  2.14 12.50  5.92 344 9999.0 999.0  23.8 999.0 99.0
1999 01 06 03  73  8.0  9.6  2.22 12.50  6.24 338 1007.4  24.3  23.8 999.0 99.0
1999 01 06 04  71  7.6  9.3  1.97 12.50  5.90 347 1008.0  24.3  23.8 999.0 99.0
1999 01 06 05  75  7.9  9.3 99.00 99.00 99.00 999 1008.3  24.3  23.8 999.0 99.0
1999 01 06 06  73  7.6  9.0  2.01 12.50  6.05 345 1008.8  24.2  23.8 999.0 99.0
1999 01 06 07  75  8.6 10.2  2.06 12.50  6.21 344 1009.5  24.2  23.8 999.0 99.0
1999 01 06 08  73  8.3  9.9  2.26 12.50  5.93 343 1009.6  24.2  23.8 999.0 99.0
1999 01 06 09  67  8.2 10.1 99.00 99.00 99.00 999 1010.0  24.2  23.8 999.0 99.0
1999 01 06 10  79  8.6  9.8  1.77 12.50  5.41 348 1009.7  24.1  23.8 999.0 99.0
1999 01 06 11  76  8.2  9.7  2.17 12.50  6.03 342 1009.3  23.8  23.7 999.0 99.0
1999 01 06 12  73  8.9 11.0  2.05 12.50  5.67 342 1008.7  23.8  23.7 999.0 99.0
1999 01 06 13  72  8.7 10.4  1.94 12.50  5.34 343 1008.7  23.8  23.7 999.0 99.0
1999 01 06 14  70  8.6 10.4  1.94 12.50  5.65 340 1008.6  23.8  23.7 999.0 99.0
1999 01 06 15  63  8.6  9.8  1.89 12.50  5.42 344 1008.9  23.7  23.7 999.0 99.0
1999 01 06 16  65  8.5 10.1  1.83 12.50  5.41 355 1009.6  23.8  23.7 999.0 99.0
1999 01 06 17  62  8.3 10.1  1.94 12.50  5.54 345 1010.1  23.8  23.7 999.0 99.0
1999 01 06 18  66  8.1  9.6  1.90 12.50  5.60 348 1011.1  23.8  23.7 999.0 99.0
1999 01 06 19  62  8.8 10.3  1.84 12.50  5.37 355 1011.4  24.2  23.7 999.0 99.0
1999 01 06 20  61  7.5  8.7  1.99 12.50  5.53 339 1011.7  24.2  23.7 999.0 99.0
1999 01 06 21  61  7.7  9.4  1.95 11.11  5.55 347 1011.1  24.2  23.7 999.0 99.0
1999 01 06 22  64  8.3  9.5  1.97 12.50  5.54 350 1010.3  24.2  23.7 999.0 99.0
1999 01 06 23  64  7.4  8.8  2.05  6.67  5.35  84 1009.9  24.2  23.7 999.0 99.0
1999 01 07 00  67  8.3  9.7  1.91  7.69  5.39  84 1009.2  24.2  23.7 999.0 99.0
1999 01 07 01  67  8.1  9.5  1.84 12.50  5.28 343 1008.5  24.2  23.8 999.0 99.0
1999 01 07 02  67  8.7 10.1  1.88 11.11  5.31 340 1007.9  24.2  23.8 999.0 99.0
1999 01 07 03  69  7.5  9.0  1.88 12.50  5.38 340 1008.0  24.2  23.8 999.0 99.0
1999 01 07 04  74  7.9  9.5  1.77  7.14  5.30  87 1008.7  24.2  23.7 999.0 99.0
1999 01 07 05  72  8.4 10.2  1.78  6.67  5.26  78 1009.2  24.2  23.7 999.0 99.0
1999 01 07 06  73  8.4 10.1  1.89 11.11  5.51 351 1010.0  24.2  23.7 999.0 99.0
1999 01 07 07  65  8.3  9.7  1.83  6.67  5.07  79 1010.6  24.2  23.8 999.0 99.0
1999 01 07 08  64  9.0 10.7  1.74  6.25  5.10  95 1010.9  24.0  23.7 999.0 99.0
1999 01 07 09  64  9.5 11.5  1.95  7.14  5.51  94 1011.0  24.2  23.7 999.0 99.0
1999 01 07 10  66  9.7 11.2  2.02  6.67  5.20  86 1010.9  23.8  23.7 999.0 99.0
1999 01 07 11  63  8.8 10.2  2.09  7.69  5.15  90 1010.6  23.8  23.7 999.0 99.0
1999 01 07 12  65  9.1 10.5  2.13  7.69  5.42  79 1010.2  23.8  23.7 999.0 99.0
1999 01 07 13  66  8.7 10.5  2.10  7.14  5.51  87 1009.9  23.8  23.5 999.0 99.0
1999 01 07 14  68  9.8 11.3  2.12  7.14  5.40  95 1009.8  23.8  23.5 999.0 99.0
1999 01 07 15 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 07 16  66  8.8 10.3  2.17  7.69  5.23  95 1011.0  23.7  23.5 999.0 99.0
1999 01 07 17  63  9.5 10.9  2.08  7.69  5.33  90 1011.3  23.7  23.5 999.0 99.0
1999 01 07 18  68  9.5 11.5  2.10  7.14  5.22  95 1011.8  23.8  23.5 999.0 99.0
1999 01 07 19  72  9.1 10.9  2.21  7.69  5.44  93 1012.0  23.8  23.5 999.0 99.0
1999 01 07 20  69  9.4 11.2  2.28  7.69  5.47  75 1011.8  23.8  23.5 999.0 99.0
1999 01 07 21  65  9.3 10.9  1.97  7.14  5.17  93 1011.3  23.8  23.5 999.0 99.0
1999 01 07 22  69  9.3 11.1  2.09  7.69  5.29  94 1010.8  23.8  23.6 999.0 99.0
1999 01 07 23  68  8.7 10.1  2.28  7.14  5.47  86 1010.3  23.8  23.7 999.0 99.0
1999 01 08 00  69  8.8 10.5  2.07  7.69  5.29  97 1009.5  23.8  23.7 999.0 99.0
1999 01 08 01  76  8.3 10.2  2.23  7.14  5.48  72 1008.7  23.8  23.7 999.0 99.0
1999 01 08 02  76  9.4 10.9  2.12  7.69  5.30  75 1008.5  24.2  23.7 999.0 99.0
1999 01 08 03  69  7.9  9.2  2.26  7.69  5.42  81 1008.8  23.9  23.7 999.0 99.0
1999 01 08 04  75  9.5 10.9  2.05  7.14  5.12  81 1009.3  24.2  23.7 999.0 99.0
1999 01 08 05  71  8.0  9.5  2.20  7.69  5.24  89 1009.7  23.8  23.7 999.0 99.0
1999 01 08 06  77  7.6  8.9  2.16  7.69  5.57  91 1010.3  23.8  23.7 999.0 99.0
1999 01 08 07  76  7.7 10.0  2.12  7.69  5.53  85 1010.5  23.8  23.7 999.0 99.0
1999 01 08 08  76  8.0  9.5  2.10  7.69  5.46  90 1010.5  23.7  23.7 999.0 99.0
1999 01 08 09  78  7.7  9.5  2.02  7.69  5.49  95 1010.4  23.7  23.7 999.0 99.0
1999 01 08 10  76  8.8 10.3  2.04  7.69  5.67  93 1010.3  23.7  23.7 999.0 99.0
1999 01 08 11  73  8.2  9.5  2.08  7.14  5.61  96 1010.1  23.7  23.7 999.0 99.0
1999 01 08 12  69  8.7 10.9  2.03  7.69  5.41  82 1009.5  23.7  23.5 999.0 99.0
1999 01 08 13  71  8.7 10.5  1.92  7.69  5.36  91 1009.4  23.7  23.5 999.0 99.0
1999 01 08 14  67  8.2  9.5  2.02  7.69  5.44  86 1009.4  23.7  23.7 999.0 99.0
1999 01 08 15  67  8.3  9.5  1.94  7.69  5.52  90 1009.6  23.7  23.7 999.0 99.0
