YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 11 08 09 273  5.0  6.0  1.87 14.29  7.34 316 1014.9  29.0  29.2 999.0 99.0
97 11 08 10 274  4.9  5.8  1.96 14.29  7.47 318 1014.5  28.9  29.2 999.0 99.0
97 11 08 11 273  5.3  6.5  1.86 12.50  7.52 311 1013.5  28.9  29.2 999.0 99.0
97 11 08 12 278  5.3  6.1  1.88 12.50  7.29 319 1012.6  28.4  29.2 999.0 99.0
97 11 08 13 282  4.9  6.2  1.67 12.50  7.11 328 1012.5  28.4  29.2 999.0 99.0
97 11 08 14 280  4.8  6.1  1.86 12.50  7.70 313 1012.5  28.4  29.2 999.0 99.0
97 11 08 15 288  5.4  6.7  1.88 12.50  7.77 333 1012.9  28.9  29.2 999.0 99.0
97 11 08 16 294  6.2  7.5  1.85 12.50  7.66 330 1013.4  28.9  29.2 999.0 99.0
97 11 08 17 292  5.4  6.6  1.82 14.29  7.31 335 1014.2  28.2  29.2 999.0 99.0
97 11 08 18 285  5.2  6.6  1.76 12.50  7.25 323 1014.8  28.6  29.2 999.0 99.0
97 11 08 19 288  5.8  6.7  1.77 12.50  7.15 327 1014.9  29.0  29.2 999.0 99.0
97 11 08 20 288  6.0  7.3  1.75 12.50  7.07 304 1015.0  29.0  29.2 999.0 99.0
97 11 08 21 286  6.5  7.7  1.83 12.50  7.11 331 1014.6  29.0  29.2 999.0 99.0
97 11 08 22 281  6.4  7.7  1.65 12.50  6.79 236 1013.4  29.0  29.2 999.0 99.0
97 11 08 23 284  6.4  7.3  1.79 12.50  6.74 287 1012.7  29.2  29.2 999.0 99.0
97 11 09 00 277  7.0  8.3  1.79 12.50  6.75 305 1011.8  29.2  29.2 999.0 99.0
97 11 09 01 282  6.9  8.2  1.91 12.50  6.70 188 1011.2  29.2  29.2 999.0 99.0
97 11 09 02 283  6.2  7.9  1.89 12.50  6.79 337 1011.1  29.0  29.2 999.0 99.0
97 11 09 03 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
