#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 04 21 00  86  7.4  8.8  2.16 10.00  6.01  60 1011.2  24.2  23.9 999.0 99.0 99.00
2008 01 04 22 00  88  8.1  9.6  2.16  9.09  5.87  74 1010.3  24.3  24.0 999.0 99.0 99.00
2008 01 04 23 00  88  7.1  8.5  2.17 10.00  5.69  59 1009.5  24.2  24.0 999.0 99.0 99.00
2008 01 05 00 00  95  7.4  8.6  2.19 10.00  5.79  58 1008.5  24.2  24.1 999.0 99.0 99.00
2008 01 05 01 00 100  8.3 10.0  2.06  9.09  5.40  75 1007.8  24.3  24.1 999.0 99.0 99.00
2008 01 05 02 00  96  6.9  8.5  2.07  8.33  5.71  88 1007.8  24.3  24.1 999.0 99.0 99.00
2008 01 05 03 00  95  6.5  7.7  2.06  8.33  5.81  90 1007.9  24.3  24.1 999.0 99.0 99.00
2008 01 05 04 00  99  6.4  7.5  2.12  9.09  5.85  81 1008.7  24.3  24.1 999.0 99.0 99.00
2008 01 05 05 00  99  6.2  7.4  2.04  8.33  5.81 105 1009.6  24.3  24.1 999.0 99.0 99.00
2008 01 05 06 00  93  5.8  7.2  1.94  9.09  5.68  77 1010.3  24.3  24.1 999.0 99.0 99.00
2008 01 05 07 00  87  5.6  6.7  2.03  9.09  5.95  96 1010.9  24.2  24.1 999.0 99.0 99.00
2008 01 05 08 00  75  6.0  8.4  2.07  9.09  6.11  72 1011.2  24.2  24.0 999.0 99.0 99.00
2008 01 05 09 00  84  5.7  6.5  2.06 10.00  6.34  54 1011.3  24.3  24.0 999.0 99.0 99.00
2008 01 05 10 00  78  7.0 10.4  2.13  9.09  6.46  83 1010.9  24.2  24.0 999.0 99.0 99.00
2008 01 05 11 00  82  6.7  7.9  2.04  8.33  6.10  98 1010.4  24.5  24.0 999.0 99.0 99.00
2008 01 05 12 00  85  5.8  7.4  1.90  8.33  5.82  94 1009.7  24.3  24.0 999.0 99.0 99.00
2008 01 05 13 00  82  6.6  8.1  2.10  9.09  6.04  73 1009.1  24.3  24.0 999.0 99.0 99.00
2008 01 05 14 00  83  6.4  7.5  1.94  9.09  5.98  70 1009.1  24.2  24.0 999.0 99.0 99.00
2008 01 05 15 00  87  6.7  7.7  2.14  9.09  6.52  69 1009.2  24.3  24.0 999.0 99.0 99.00
2008 01 05 16 00 100  7.4  8.6  2.01  9.09  5.88  55 1009.7  24.2  24.0 999.0 99.0 99.00
2008 01 05 17 00  94  7.2  8.4  2.03  9.09  5.65  67 1010.4  24.4  24.0 999.0 99.0 99.00
2008 01 05 18 00  91  7.4  8.6  2.07  9.09  5.71  54 1011.2  24.4  24.0 999.0 99.0 99.00
2008 01 05 19 00  92  8.5 10.3  2.08  9.09  5.54  57 1011.5  24.5  24.0 999.0 99.0 99.00
2008 01 05 20 00  93  7.9  9.5  2.05  9.09  5.77  62 1011.6  24.5  24.1 999.0 99.0 99.00
2008 01 05 21 00  93  7.2  8.4  2.08  9.09  5.57  53 1011.2  24.5  24.2 999.0 99.0 99.00
2008 01 05 22 00  90  7.3  9.0  2.26  8.33  5.98  81 1010.5  24.5  24.2 999.0 99.0 99.00
2008 01 05 23 00  91  8.4  9.9  2.27  9.09  6.06  68 1009.7  23.9  24.2 999.0 99.0 99.00
2008 01 06 00 00  89  6.6  7.8  2.03  9.09  5.44  70 1009.1  24.4  24.3 999.0 99.0 99.00
2008 01 06 01 00  92  6.6  7.3  2.23  9.09  5.86  66 1008.5  24.6  24.3 999.0 99.0 99.00
2008 01 06 02 00  92  7.7  8.8  2.10 10.00  5.74  43 1008.4  24.6  24.3 999.0 99.0 99.00
2008 01 06 03 00  89  6.2  7.1  2.20  7.14  5.93  93 1008.9  24.7  24.3 999.0 99.0 99.00
2008 01 06 04 00  85  6.8  8.0  2.19  9.09  5.93  79 1009.3  24.6  24.3 999.0 99.0 99.00
2008 01 06 05 00  94  6.2  7.2  2.18  9.09  5.93  76 1009.9  24.5  24.3 999.0 99.0 99.00
2008 01 06 06 00  90  5.7  6.4  2.15  8.33  6.14  71 1010.5  24.4  24.3 999.0 99.0 99.00
2008 01 06 07 00  82  4.6  5.6  2.08  9.09  6.07  75 1011.2  24.3  24.2 999.0 99.0 99.00
2008 01 06 08 00  87  5.9  7.0  2.28  8.33  6.26  75 1011.5  24.5  24.2 999.0 99.0 99.00
